date,count
2012-02-01,10
2012-02-02,10
2012-02-03,10
2012-02-04,10
2012-02-05,10
2012-02-06,10
2012-02-07,10
2012-02-08,10
2012-02-09,10
2012-02-10,10
2012-02-11,10
2012-02-12,10
2012-02-13,10
2012-02-14,10
2012-02-15,10
2012-02-16,10
2012-02-17,10
2012-02-18,10
2012-02-19,10
2012-02-20,10
2012-02-21,10
2012-02-22,10
2012-02-23,10
2012-02-24,10
2012-02-25,10
2012-02-26,10
2012-02-27,10
2012-02-28,10
2012-02-29,10
2012-03-01,12
2012-03-02,12
2012-03-03,12
2012-03-04,12
2012-03-05,23
2012-03-06,31
2012-03-07,10
2012-03-08,10
2012-03-09,10
2012-03-10,10
2012-03-11,10
2012-03-12,10
2012-03-13,10
2012-03-14,10
2012-03-15,10
2012-03-16,10
2012-03-17,10
2012-03-18,10
2012-03-19,10
2012-03-20,10
2012-03-21,10
2012-03-22,10
2012-03-23,10
2012-03-24,10
2012-03-25,10
2012-03-26,10
2012-03-27,10
2012-03-28,10
2012-03-29,10
2012-03-30,10
2012-03-31,10
2012-04-01,10
2012-04-02,10
2012-04-03,10
2012-04-04,10
2012-04-05,10
2012-04-06,10
2012-04-07,10
2012-04-08,10
2012-04-09,10
2012-04-10,10
2012-04-11,10
2012-04-12,10
2012-04-13,10
2012-04-14,10
2012-04-15,10
2012-04-16,10
2012-04-17,10
2012-04-18,10
2012-04-19,10
2012-04-20,10
2012-04-21,10
2012-04-22,10
2012-04-23,10
2012-04-24,13
2012-04-25,10
2012-04-26,9
2012-04-27,8
2012-04-28,8
2012-04-29,8
2012-04-30,8
2012-05-01,8
2012-05-02,17
2012-05-03,15
2012-05-04,9
2012-05-05,9
2012-05-06,9
2012-05-07,9
2012-05-08,9
2012-05-09,12
2012-05-10,12
2012-05-11,12
2012-05-12,12
2012-05-13,12
2012-05-14,12
2012-05-15,12
2012-05-16,12
2012-05-17,12
2012-05-18,13
2012-05-19,13
2012-05-20,13
2012-05-21,13
2012-05-22,13
2012-05-23,13
2012-05-24,12
2012-05-25,12
2012-05-26,12
2012-05-27,26
2012-05-28,26
2012-05-29,26
2012-05-30,26
2012-05-31,25
2012-06-01,24
2012-06-02,23
2012-06-03,23
2012-06-04,22
2012-06-05,22
2012-06-06,25
2012-06-07,32
2012-06-08,34
2012-06-09,32
2012-06-10,32
2012-06-11,30
2012-06-12,30
2012-06-13,28
2012-06-14,28
2012-06-15,28
2012-06-16,28
2012-06-17,32
2012-06-18,32
2012-06-19,38
2012-06-20,41
2012-06-21,47
2012-06-22,48
2012-06-23,43
2012-06-24,45
2012-06-25,43
2012-06-26,44
2012-06-27,43
2012-06-28,48
2012-06-29,44
2012-06-30,58
2012-07-01,48
2012-07-02,52
2012-07-03,47
2012-07-04,51
2012-07-05,53
2012-07-06,46
2012-07-07,53
2012-07-08,59
2012-07-09,77
2012-07-10,68
2012-07-11,52
2012-07-12,56
2012-07-13,52
2012-07-14,59
2012-07-15,66
2012-07-16,65
2012-07-17,52
2012-07-18,48
2012-07-19,54
2012-07-20,50
2012-07-21,46
2012-07-22,50
2012-07-23,51
2012-07-24,46
2012-07-25,42
2012-07-26,44
2012-07-27,42
2012-07-28,42
2012-07-29,42
2012-07-30,46
2012-07-31,45
2012-08-01,49
2012-08-02,44
2012-08-03,51
2012-08-04,48
2012-08-05,50
2012-08-06,47
2012-08-07,52
2012-08-08,52
2012-08-09,65
2012-08-10,62
2012-08-11,54
2012-08-12,70
2012-08-13,54
2012-08-14,51
2012-08-15,55
2012-08-16,45
2012-08-17,42
2012-08-18,56
2012-08-19,57
2012-08-20,57
2012-08-21,47
2012-08-22,51
2012-08-23,51
2012-08-24,52
2012-08-25,60
2012-08-26,60
2012-08-27,68
2012-08-28,69
2012-08-29,70
2012-08-30,78
2012-08-31,84
2012-09-01,82
2012-09-02,84
2012-09-03,87
2012-09-04,90
2012-09-05,90
2012-09-06,89
2012-09-07,100
2012-09-08,96
2012-09-09,98
2012-09-10,97
2012-09-11,98
2012-09-12,96
2012-09-13,96
2012-09-14,96
2012-09-15,108
2012-09-16,109
2012-09-17,106
2012-09-18,107
2012-09-19,105
2012-09-20,112
2012-09-21,109
2012-09-22,114
2012-09-23,118
2012-09-24,119
2012-09-25,123
2012-09-26,134
2012-09-27,133
2012-09-28,129
2012-09-29,131
2012-09-30,133
2012-10-01,132
2012-10-02,132
2012-10-03,134
2012-10-04,138
2012-10-05,138
2012-10-06,137
2012-10-07,118
2012-10-08,71
2012-10-09,67
2012-10-10,59
2012-10-11,59
2012-10-12,66
2012-10-13,62
2012-10-14,61
2012-10-15,55
2012-10-16,59
2012-10-17,60
2012-10-18,63
2012-10-19,62
2012-10-20,59
2012-10-21,60
2012-10-22,60
2012-10-23,56
2012-10-24,54
2012-10-25,56
2012-10-26,52
2012-10-27,58
2012-10-28,55
2012-10-29,52
2012-10-30,60
2012-10-31,62
2012-11-01,61
2012-11-02,56
2012-11-03,61
2012-11-04,61
2012-11-05,63
2012-11-06,58
2012-11-07,63
2012-11-08,64
2012-11-09,61
2012-11-10,63
2012-11-11,66
2012-11-12,60
2012-11-13,60
2012-11-14,64
2012-11-15,74
2012-11-16,78
2012-11-17,72
2012-11-18,70
2012-11-19,72
2012-11-20,78
2012-11-21,73
2012-11-22,74
2012-11-23,72
2012-11-24,81
2012-11-25,73
2012-11-26,79
2012-11-27,73
2012-11-28,77
2012-11-29,85
2012-11-30,84
2012-12-01,78
2012-12-02,81
2012-12-03,81
2012-12-04,92
2012-12-05,87
2012-12-06,91
2012-12-07,86
2012-12-08,92
2012-12-09,94
2012-12-10,97
2012-12-11,98
2012-12-12,99
2012-12-13,96
2012-12-14,104
2012-12-15,116
2012-12-16,103
2012-12-17,115
2012-12-18,114
2012-12-19,121
2012-12-20,115
2012-12-21,115
2012-12-22,114
2012-12-23,118
2012-12-24,115
2012-12-25,117
2012-12-26,126
2012-12-27,136
2012-12-28,135
2012-12-29,145
2012-12-30,145
2012-12-31,135
2013-01-01,139
2013-01-02,131
2013-01-03,127
2013-01-04,135
2013-01-05,129
2013-01-06,136
2013-01-07,156
2013-01-08,147
2013-01-09,156
2013-01-10,154
2013-01-11,148
2013-01-12,132
2013-01-13,125
2013-01-14,148
2013-01-15,158
2013-01-16,155
2013-01-17,143
2013-01-18,127
2013-01-19,134
2013-01-20,144
2013-01-21,170
2013-01-22,153
2013-01-23,152
2013-01-24,173
2013-01-25,171
2013-01-26,146
2013-01-27,139
2013-01-28,173
2013-01-29,133
2013-01-30,129
2013-01-31,149
2013-02-01,128
2013-02-02,138
2013-02-03,135
2013-02-04,155
2013-02-05,176
2013-02-06,158
2013-02-07,143
2013-02-08,176
2013-02-09,179
2013-02-10,203
2013-02-11,189
2013-02-12,161
2013-02-13,163
2013-02-14,170
2013-02-15,193
2013-02-16,170
2013-02-17,186
2013-02-18,231
2013-02-19,227
2013-02-20,199
2013-02-21,212
2013-02-22,249
2013-02-23,206
2013-02-24,217
2013-02-25,240
2013-02-26,190
2013-02-27,149
2013-02-28,149
2013-03-01,160
2013-03-02,138
2013-03-03,127
2013-03-04,155
2013-03-05,150
2013-03-06,171
2013-03-07,181
2013-03-08,162
2013-03-09,165
2013-03-10,154
2013-03-11,160
2013-03-12,147
2013-03-13,156
2013-03-14,134
2013-03-15,161
2013-03-16,116
2013-03-17,159
2013-03-18,140
2013-03-19,149
2013-03-20,134
2013-03-21,138
2013-03-22,134
2013-03-23,156
2013-03-24,147
2013-03-25,164
2013-03-26,156
2013-03-27,155
2013-03-28,138
2013-03-29,116
2013-03-30,150
2013-03-31,164
2013-04-01,214
2013-04-02,217
2013-04-03,205
2013-04-04,168
2013-04-05,153
2013-04-06,162
2013-04-07,218
2013-04-08,187
2013-04-09,191
2013-04-10,196
2013-04-11,176
2013-04-12,134
2013-04-13,132
2013-04-14,125
2013-04-15,148
2013-04-16,147
2013-04-17,128
2013-04-18,144
2013-04-19,141
2013-04-20,150
2013-04-21,248
2013-04-22,211
2013-04-23,168
