Day,Created,weeknumber,day_of_week
Wed,246,33,3
Thu,193,33,4
Fri,254,33,5
Sat,152,33,6
Sun,156,33,0
Mon,294,34,1
Tue,221,34,2
Wed,164,34,3
Thu,178,34,4
Fri,165,34,5
Sat,157,34,6
Sun,128,34,0
Mon,210,35,1
Tue,285,35,2
Wed,256,35,3
Thu,399,35,4
Fri,262,35,5
Sat,137,35,6
Sun,180,35,0
Mon,241,36,1
Tue,242,36,2
Wed,228,36,3
Thu,223,36,4
Fri,240,36,5
Sat,154,36,6
Sun,101,36,0
Mon,269,37,1
Tue,264,37,2
Wed,226,37,3
Thu,195,37,4
Fri,223,37,5
Sat,122,37,6
Sun,160,37,0
Mon,212,38,1
Tue,270,38,2
Wed,311,38,3
Thu,197,38,4
Fri,276,38,5
Sat,132,38,6
Sun,159,38,0
Mon,176,39,1
Tue,219,39,2
Wed,248,39,3
Thu,156,39,4
Fri,197,39,5
Sat,159,39,6
Sun,159,39,0
Mon,214,40,1
Tue,357,40,2
Wed,225,40,3
Thu,214,40,4
Fri,198,40,5
Sat,156,40,6
Sun,196,40,0
Mon,261,41,1
Tue,245,41,2
Wed,198,41,3
Thu,343,41,4
Fri,382,41,5
Sat,139,41,6
Sun,185,41,0
Mon,199,42,1
Tue,231,42,2
Wed,245,42,3
Thu,279,42,4
Fri,225,42,5
Sat,148,42,6
Sun,197,42,0
Mon,200,43,1
Tue,218,43,2
Wed,177,43,3
Thu,189,43,4
Fri,218,43,5
Sat,144,43,6
Sun,137,43,0
Mon,206,44,1
Tue,185,44,2
Wed,234,44,3
Thu,200,44,4
Fri,186,44,5
Sat,168,44,6
Sun,238,44,0
Mon,227,45,1
Tue,201,45,2
Wed,221,45,3
Thu,207,45,4
Fri,151,45,5
Sat,118,45,6
Sun,122,45,0
Mon,238,46,1
Tue,194,46,2
Wed,179,46,3
Thu,145,46,4
