ChangeId,FilesChanged,TotalLinesInserted,TotalLinesDeleted,LastRevisionId,HasExtension,OnlySource,OnlyDocumentation,ContainsSource
174,1,654,28,174,1,1,0,1
175,7,439,0,175,1,0,0,0
176,1,6,2,176,1,1,0,1
177,2,27,47,177,1,1,0,1
178,3,43,41,178,1,1,0,1
179,3,43,40,179,1,1,0,1
180,1,24,0,180,1,1,0,1
181,2,18,10,181,1,1,0,1
182,1,20,0,182,1,1,0,1
183,2,4,1,183,0,0,0,0
184,2,4,1,184,0,0,0,0
185,2,76,2,185,1,1,0,1
186,2,61,1,186,1,1,0,1
187,2,57,1,187,1,1,0,1
188,3,80,3,188,1,1,0,1
189,2,76,2,189,1,1,0,1
190,2,79,2,190,1,1,0,1
191,3,78,2,191,1,1,0,1
192,2,63,2,192,1,1,0,1
193,3,80,3,193,1,1,0,1
194,3,84,3,194,1,1,0,1
195,9,156,86,195,1,1,0,1
196,7,114,84,196,1,1,0,1
197,7,114,84,197,1,1,0,1
198,7,114,84,198,1,1,0,1
199,7,118,85,199,1,1,0,1
200,1,14,0,200,1,1,0,1
201,1,1,1,201,0,0,0,0
202,3,6,0,202,1,0,0,0
203,1,4,2,203,1,0,0,0
204,1,16,7,204,1,1,0,1
205,1,9,7,205,1,1,0,1
206,1,18,8,206,1,1,0,1
207,1,18,8,207,1,1,0,1
208,5,6,10,208,1,1,0,1
209,1,1,2,209,1,1,0,1
210,10,14,14,210,1,1,0,1
211,1,18,2,211,1,1,0,1
212,1,19,2,212,1,1,0,1
213,1,18,2,213,1,1,0,1
214,1,15,6,214,1,1,0,1
215,1,115,193,215,1,1,0,1
216,1,3,1,216,1,1,0,1
217,1,0,2,217,1,1,0,1
218,3,59,2,218,1,1,1,1
219,13,117,20,219,1,1,0,1
220,3,87,12,220,1,1,0,1
221,3,86,12,221,1,1,0,1
222,3,80,9,222,1,1,0,1
223,3,87,12,223,1,1,0,1
224,3,80,9,224,1,1,0,1
225,3,87,12,225,1,1,0,1
226,24,709,194,226,1,1,0,1
227,22,813,116,227,1,1,0,1
228,22,5620,116,228,1,1,0,1
229,21,776,115,229,1,1,0,1
230,21,779,116,230,1,1,0,1
231,18,668,5,231,1,1,0,1
232,20,555,116,232,1,1,0,1
233,13,437,180,233,1,1,0,1
234,13,487,116,234,1,1,0,1
235,14,634,5,235,1,1,0,1
236,1,1,0,236,1,1,0,1
237,1,5,5,237,1,1,0,1
238,11,177,8,238,1,1,0,1
239,9,397,56,239,1,1,0,1
240,9,386,45,240,1,1,0,1
241,1,5,10,241,1,1,0,1
242,1,5,10,242,1,1,0,1
243,2,9,4,243,1,1,0,1
244,2,9,4,244,1,1,0,1
245,3,92,0,245,1,1,0,1
246,3,92,0,246,1,1,0,1
247,3,92,0,247,1,1,0,1
248,3,104,0,248,1,1,0,1
249,3,92,0,249,1,1,0,1
250,3,104,0,250,1,1,0,1
251,2,16,6,251,1,1,1,1
252,2,16,6,252,1,1,1,1
253,1,2,2,253,1,1,0,1
254,1,2,2,254,1,1,0,1
255,1,31,34,255,1,1,0,1
256,1,31,34,256,1,1,0,1
257,1,29,32,257,1,1,0,1
258,2,9,3,258,1,1,0,1
259,2,9,3,259,1,1,0,1
260,3,15,14,260,1,1,0,1
261,3,15,14,261,1,1,0,1
262,1,33,0,262,1,1,0,1
263,1,33,0,263,1,1,0,1
264,1,30,2,264,1,1,0,1
265,1,30,2,265,1,1,0,1
266,1,1,1,266,1,1,0,1
267,1,1,1,267,1,1,0,1
268,1,9,1,268,1,1,0,1
269,1,9,1,269,1,1,0,1
270,1,9,1,270,1,1,0,1
271,1,9,1,271,1,1,0,1
272,2,14,4,272,1,1,0,1
273,2,14,4,273,1,1,0,1
274,1,2,3,274,1,1,0,1
275,1,2,3,275,1,1,0,1
276,1,4,9,276,1,1,0,1
277,1,4,9,277,1,1,0,1
278,1,2,1,278,1,1,0,1
279,1,2,1,279,1,1,0,1
280,1,2,1,280,1,1,0,1
281,1,2,2,281,1,1,0,1
282,1,2,2,282,1,1,0,1
283,60,119,119,283,1,1,0,1
284,60,119,119,284,1,1,0,1
285,43,149,80,285,1,1,0,1
286,43,149,80,286,1,1,0,1
287,65,101,108,287,1,1,0,1
288,65,101,108,288,1,1,0,1
289,2,13,1,289,1,1,0,1
290,2,13,1,290,1,1,0,1
291,3,4,15,291,1,1,0,1
292,3,4,15,292,1,1,0,1
293,1,11,9,293,1,1,0,1
294,1,11,9,294,1,1,0,1
295,1,5,4,295,1,1,0,1
296,1,5,4,296,1,1,0,1
297,1,2,1,297,1,1,0,1
298,1,2,1,298,1,1,0,1
299,1,1,0,299,1,1,0,1
300,1,1,0,300,1,1,0,1
301,1,5,0,301,1,1,0,1
302,1,5,0,302,1,1,0,1
303,1,2,4,303,1,1,0,1
304,1,2,4,304,1,1,0,1
305,2,21,20,305,1,1,0,1
306,2,21,20,306,1,1,0,1
307,1,15,6,307,1,1,0,1
308,1,15,6,308,1,1,0,1
309,1,3,1,309,1,0,0,0
310,1,3,1,310,1,0,0,0
