"DATE_FORMAT(d.`date`, ""%Y-%m"")",count(r.createdtime)
2011-02,11
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,5
2011-08,13
2011-09,201
2011-10,144
2011-11,287
2011-12,310
2012-01,35
