"DATE_FORMAT(t.`date`, ""%Y-%m-01"")",sum(t.`count`)
2011-02-01,38
2011-03-01,23
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,5
2011-08-01,110
2011-09-01,644
2011-10-01,1329
2011-11-01,1349
2011-12-01,1384
2012-01-01,296
